loan_status,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,pub_rec,revol_bal,revol_util
1,17.76,144.13,20000,8.76,0,2,0,6369,36.6
1,17.76,646.74,132000,16.96,0,1,0,8855,81.3
1,21.7,494.08,48000,17.03,0,3,0,5566,33.3
1,24.08,590.7,55400,17.14,0,0,0,7949,85.5
1,14.3,432.48,75000,5.28,0,5,0,8836,62.7
1,10.99,163.67,45000,3.25,2,0,0,3870,82.3
1,16.2,341.95,80000,10.73,0,2,1,10876,28.4
1,10.99,687.42,65000,33.83,0,1,0,23988,78.4
1,23.1,423.72,64162,17.75,0,0,0,9024,77.1
1,17.1,517.43,58000,29.07,0,1,0,36363,58.6
1,15.1,338.47,44500,16.15,0,0,1,5068,63.3
1,16.2,488.49,51000,21.98,0,1,0,11670,36.8
1,19.2,441.09,200000,12.24,0,0,0,48285,95.4
1,14.3,184.49,18000,24.33,0,0,0,9698,22.5
1,17.1,298.88,44000,27.33,0,1,0,5435,41.5
1,17.1,892.57,120000,14.37,0,0,0,39320,100.1
1,14.3,200.8,30000,13.48,0,1,0,14674,74.9
1,25.83,616.95,115000,6.21,0,1,0,6923,89.9
1,19.2,882.18,81000,19.24,0,1,0,23732,55.3
1,21.7,738.84,62000,14.55,0,0,0,12537,90.8
1,17.1,607.1,55000,20.95,1,0,0,13316,48.1
1,20.2,733.65,62175,18.61,0,0,0,9624,83.7
1,20.2,894.38,83500,17.06,0,1,0,18996,90.5
1,13.67,306.16,92000,11.31,0,0,0,14033,42.1
1,19.52,539.95,55000,27.03,0,0,0,27979,93.6
1,8.6,379.37,40000,23.88,1,0,0,17886,36.7
1,19.52,44.31,58000,8.38,0,1,0,9951,23.2
1,15.1,173.58,26000,29.08,0,1,1,4397,23.4
1,15.1,416.58,65000,9.77,0,0,0,13100,56.7
1,17.1,398.51,64000,5.93,0,1,1,10068,41.8
1,11.99,398.52,45000,23.23,0,1,0,19156,50.5
1,15.61,349.65,120000,17.8,0,3,0,23090,78.8
1,21.7,765.47,65000,12.17,1,2,0,2548,39.2
1,18.55,582.87,45000,21.63,0,0,0,16756,51.6
1,9.99,145.19,57500,14.65,0,0,0,4237,14
1,11.99,743.9,129000,21.4,0,1,0,27736,67.2
1,12.99,336.9,70000,19.17,0,2,1,18678,48.1
1,10.64,293.12,65000,15.62,0,0,0,35567,84.7
1,15.88,553,90000,26.61,0,0,0,16678,43.1
1,15.88,363.82,82310,32.3,0,0,0,33625,55.1
1,12.35,200.3,40000,33.06,0,0,0,21147,76.1
1,19.52,553.8,56000,9.64,0,1,1,3187,39.3
1,10.64,625.32,120000,15.64,0,0,0,21753,78.1
1,14.33,424.94,39600,24.36,2,2,0,3005,69.9
1,13.68,204.14,37000,7.14,0,0,0,5709,85.2
1,13.68,242.41,30275,13.4,0,2,0,11848,91.8
1,7.9,140.81,55885,21.49,0,2,0,3501,5.2
1,17.56,503.05,57000,26.67,0,1,0,5980,73.8
1,24.89,529.37,48000,34.55,0,1,0,15884,77.1
1,11.55,440.55,50135.04,14.1,0,1,0,11570,69.3
1,19.52,343.36,34000,11.93,0,2,0,12889,35.7
1,11.55,495,85000,14.75,0,3,0,17505,67.8
1,14.33,247.24,51000,18.24,0,0,0,3090,31.9
1,15.88,582.11,75000,16.42,0,0,0,41771,57.9
1,7.9,469.36,62500,5.57,0,0,0,7121,26.1
1,19.52,521.49,50000,32.32,1,1,1,11462,63
1,16.78,355.44,65000,13.86,0,0,1,9971,39.1
1,13.05,151.74,55000,4.82,0,0,0,6404,44.8
1,15.88,350.98,36000,27.47,0,0,0,22825,57.8
1,19.52,917.97,89000,19.8,1,0,0,28702,53.1
1,21.6,379.84,65500,4.87,0,2,0,6694,60.3
1,11.55,495,50000,15.17,1,0,1,13177,35.4
1,17.56,359.33,42000,6.73,0,3,0,5236,29.1
1,15.88,505.41,150000,19.36,0,3,0,31438,75.5
1,13.68,127.59,14000,12.17,0,0,0,6063,89.2
1,23.5,277.67,35000,4.39,0,2,0,4163,62.1
1,20.31,134.36,75000,34.82,0,0,0,123441,82.8
1,19.52,160.6,32000,9.5,0,0,0,2470,48.4
1,20.31,366.67,60364,19.38,0,0,1,16681,72.2
1,16.78,479.85,73000,14.76,0,3,0,13113,42.6
1,11.55,330,40000,19.7,0,0,0,11709,48.4
1,13.05,613.67,74626,33.16,0,0,0,47156,87.3
1,12.35,267.06,33360,28.85,0,1,0,5863,40.7
1,17.56,203.92,45000,29.68,0,2,0,3035,37
1,15.88,188.66,60000,1.34,0,0,1,3361,64.6
1,24.89,878.61,82000,26.9,2,1,0,17824,55.2
1,15.22,462.58,43500,24.83,0,0,0,32032,73.3
1,12.35,333.82,50000,14.75,0,3,0,16827,29
1,22.7,488.93,65000,12.18,0,2,1,13557,67.8
1,14.33,351.6,52000,15.85,0,0,1,8092,87
1,20.31,895.73,125600,8.84,0,3,0,9904,73.4
1,11.14,754.52,330000,3.13,0,1,0,26457,41.7
1,23.63,685.29,122474,22.84,0,2,0,43306,65
1,16.29,489.45,80000,8.91,0,0,1,6703,80.8
1,16.29,563.93,92000,6.05,1,1,0,616,4.1
1,17.77,180.19,33600,5.82,0,1,1,2314,50.3
1,14.33,351.6,72600,21.32,0,0,1,12325,83.3
1,17.27,499.96,60000,17.82,0,2,0,19524,72.9
1,15.8,1227.05,125000,2.17,0,3,0,9245,38.5
1,11.14,273.11,25000,11.47,0,0,0,11375,69.8
1,19.05,381.49,49000,32.47,1,1,0,17747,48.9
1,17.27,357.88,60000,28,2,0,2,7326,39
1,14.33,302.18,85000,12.34,0,0,0,25839,80.2
1,21.98,441.73,53500,27.57,0,0,2,11577,70.6
1,21,541.07,65000,23.13,0,2,0,16067,89.5
1,17.27,699.95,110000,12.17,0,0,0,13253,37.7
1,10.16,176.27,41000,27.95,0,2,0,25977,60.3
1,13.11,388.1,35000,27.81,0,0,0,16314,58.5
1,14.09,615.99,55000,13.2,0,0,0,11936,57.1
1,14.09,650.21,110000,19.35,0,1,0,111970,84
1,15.8,484.24,61000,16.23,0,2,0,18859,68.8
1,23.76,887.5,92000,19.21,0,3,0,26616,95.1
1,10.16,336.37,46000,27.42,0,0,1,9712,39.2
1,19.05,167.82,24000,14.5,0,0,0,15486,90.2
1,14.33,439.53,89000,13.89,2,1,0,13042,30.6
1,16.29,423.61,42000,7.2,0,0,0,10712,81.8
1,17.77,685.61,72000,18.74,0,3,0,24190,54.5
1,17.77,345.96,38000,12.82,0,1,0,13992,58.8
1,21.49,390.65,62000,11.77,0,1,0,3907,95.3
1,22.95,985.67,120000,10.84,0,1,0,34719,90.2
1,14.33,384.59,100000,18.93,0,4,0,9938,33.2
1,19.72,526.77,60000,17.01,0,1,0,2889,2.2
1,15.31,288.99,44000,25.8,0,0,0,9323,33.1
1,21.98,441.73,65000,23.96,1,2,2,8705,42.3
1,21.98,568.72,85000,19.45,0,1,0,12715,80.5
1,16.29,395.37,35000,24.41,0,0,1,9502,66
1,19.05,671.93,72000,8.98,0,2,0,22307,72.7
1,11.14,326.42,29483,13.76,0,0,1,4752,30.1
1,15.8,382.55,60000,27.18,0,1,0,38482,76.1
1,16.29,609.98,105000,23.99,0,0,0,7786,53.7
1,13.11,404.97,52000,29.77,0,2,0,20799,51
1,21,568.13,60000,34.6,0,1,0,26852,67.5
1,15.8,603.49,58476,21.05,0,1,0,1505,5.4
1,17.27,297.93,25000,17.23,2,1,0,7488,64.6
1,20.49,606.11,59000,16.88,4,3,0,8975,31.1
1,21.49,795.3,120000,18.11,0,1,0,22991,72.3
1,15.8,726.36,200000,6.73,0,0,0,14640,52.5
1,17.27,580.58,53000,15.46,0,4,0,19882,80.8
1,15.8,1227.05,250000,8.11,0,2,0,22944,83.1
1,15.8,1227.05,93363,9.24,0,0,0,23589,64.8
1,19.05,429.18,34000,12.46,0,2,0,12298,96.1
1,15.8,315.53,60000,20.38,0,0,0,13527,91.4
1,21.98,927.62,131000,17.87,1,0,0,23974,97.1
1,7.62,872.52,80000,18.87,0,0,0,21445,37
1,16.29,1059.02,88000,19.21,0,1,0,16462,91.5
1,17.27,205.78,35000,23.79,0,0,0,8487,97.6
1,20.49,673.2,90000,17.84,0,2,0,25441,89
1,17.27,286.3,25000,16.13,0,0,0,11179,93.2
1,12.12,532.35,65000,22.67,0,0,0,42975,78.9
1,13.11,948.29,63000,24.3,0,0,0,23995,60.7
1,12.12,352.68,60000,13.56,0,0,0,33143,84
1,18.49,564.18,75000,18.85,0,0,0,11241,81.5
1,17.77,144.15,75000,18.02,0,0,0,13308,80.2
1,16.29,436.85,50000,22.63,0,1,1,14388,81.7
1,17.77,777.01,120000,12.14,0,1,0,19333,71.6
1,18.49,727.98,90000,13.61,0,1,0,22255,47.7
1,16.29,529.51,70000,28.97,0,0,0,33767,87.3
1,15.8,336.57,85000,5.63,1,1,0,2960,22.3
1,15.8,464.87,55000,3.82,1,2,0,5839,26.5
1,13.11,269.98,80000,4.04,0,4,0,7624,47.9
1,16.29,529.51,68734,28.07,0,5,0,13158,20.9
1,17.77,288.3,75000,25.79,0,2,0,16650,84.5
1,15.8,514.51,48000,20.41,0,2,0,9456,42.8
1,18.75,752.81,65000,0,0,1,0,0,0
1,7.9,354.37,36000,28.99,1,0,0,10382,13.9
1,13.11,459.04,45000,21.76,0,3,0,534,1.7
1,21.49,1106.53,65000,20.98,0,1,0,25440,88.3
1,14.33,412.06,40000,13.79,0,0,0,5290,58.8
1,21,202.91,65000,9.8,0,3,0,20087,19.8
1,10.16,646.85,85000,9.98,0,0,0,8391,49.5
1,19.72,474.09,45000,25.92,0,0,0,16604,67
1,14.09,410.66,40000,31.14,0,0,0,17918,43.3
1,18.49,909.97,106000,25.86,0,2,0,17052,92.7
1,19.05,258.39,30000,33.12,1,0,0,15416,43.7
1,20.49,669.19,200000,14.89,1,2,0,21801,34.1
1,21.98,464.5,45240,34.8,0,0,0,14257,60.6
1,17.27,948.37,86000,21.2,2,1,0,20670,69.9
1,23.33,752.09,72000,23.67,0,1,0,25608,93.1
1,23.13,847.96,62000,16.22,0,3,0,6990,41.1
1,23.13,308.1,60000,18.18,0,1,0,10647,86.6
1,15.81,387.48,67200,5.96,0,2,0,10220,53.8
1,15.81,387.48,44000,22.64,0,1,0,15064,25.5
1,18.64,463.38,71000,9.03,0,3,0,10192,93.5
1,19.03,519.15,55000,20.55,0,0,0,28717,95.9
1,15.99,607.82,120000,32.41,0,0,0,72850,83
1,12.99,168.45,54000,14.4,0,1,0,4735,41.9
1,12.99,235.83,35000,16.26,0,1,0,4263,30.7
1,21.99,865.86,105000,25.24,2,1,0,28931,83.4
1,14.31,171.65,18000,12.07,0,1,0,5159,17.5
1,12.99,168.45,26288,28.04,0,1,0,4718,10.5
1,17.86,506.35,53000,11.96,0,0,0,23512,85.8
1,20.99,307,23000,5.69,0,3,0,4466,13.7
1,14.99,519.91,60000,20.42,9,0,1,14795,85.5
1,15.99,87.89,20000,3.6,0,0,0,1597,22.8
1,16.49,410.48,38000,7.9,0,3,1,17249,40.6
1,14.99,371.05,54000,21.33,0,0,0,10334,65.8
1,12.99,443.02,30000,34.72,0,0,0,10598,65
1,19.24,260.73,180000,23.7,0,4,0,179224,88.9
1,22.99,563.7,72000,24.88,0,0,1,11750,81.6
1,14.99,86.66,15000,16.16,0,0,0,689,10.6
1,15.99,149.4,19000,22.17,2,3,0,9919,76.3
1,18.54,305.97,17280,39.72,0,1,0,7458,44.7
1,18.54,899.09,82250,29.69,0,0,1,10586,48.6
1,19.24,912.55,135000,20.29,3,1,0,7750,28.2
1,15.99,413.32,50000,33.89,0,1,0,21042,45.2
1,20.99,595.06,44000,13.78,0,0,0,18576,57.5
1,6.49,367.74,120000,11.58,1,0,0,15765,92.2
1,8.19,377.09,75000,7.89,0,0,1,10630,62.2
1,20.99,482.81,54000,26.98,0,1,0,7897,43.9
1,9.49,313.08,23408,18.92,1,0,1,10860,72.4
1,24.5,523.07,74000,6.41,0,1,0,13316,59.7
1,13.66,646.59,93000,20.18,0,1,0,47032,47.2
1,11.44,197.69,40000,32.33,0,0,0,12785,56.8
1,6.99,216.11,50000,19.95,0,0,2,7985,40.7
1,18.54,169.38,26000,22.02,0,1,0,7364,72.9
1,11.99,438.37,56000,17.15,1,2,0,12509,48.5
1,17.14,1250.29,150000,0.38,1,1,0,2612,7
1,26.06,1049.17,70000,16.62,0,1,0,24750,80.9
1,15.59,289.21,50000,25.35,0,1,0,21819,41.1
1,19.99,1177,72000,13.18,0,1,0,33699,92.8
1,20.99,668.08,65000,32.04,0,0,0,33754,88.6
1,15.99,337.47,24000,35,1,0,0,10036,55.8
1,15.59,482.02,62160,2.66,0,0,0,7782,98.4
1,14.31,656.02,95000,22.04,0,0,0,42475,57.1
1,17.14,598.27,87000,33.63,0,2,0,10518,51.8
1,18.54,411.01,50000,17.67,0,1,0,6038,37
1,6.49,367.74,42000,21.97,0,1,0,10466,40.4
1,24.99,775.22,65000,11.52,1,1,0,17364,78.2
1,12.39,785.48,140000,9.8,2,0,0,21307,44.5
1,14.99,415.93,55000,26.31,0,0,0,19548,51.4
1,11.44,296.53,72000,15.31,3,0,1,15957,34.1
1,11.44,257,82000,14.6,1,1,0,9785,49.7
1,24.5,303.67,35000,30.18,0,0,0,22692,80.8
1,17.14,1250.29,81600,24.25,0,3,0,15324,63.3
1,14.99,428.13,60000,15.35,4,2,0,3418,21.4
1,9.49,587.92,110000,18.83,0,0,0,24921,56.4
1,25.89,551.21,66000,14.78,0,5,0,3945,22.8
1,19.24,834.33,76000,13.67,0,0,0,16679,57.1
1,12.99,614.2,75000,24.56,0,1,0,4101,29.7
1,12.99,269.52,30000,8.4,0,1,0,8808,76.6
1,19.99,850.28,70000,26.14,1,0,0,34652,52.9
1,15.59,297.12,55000,19.97,0,0,0,13844,96.1
1,19.99,556.26,53000,20.18,0,0,0,3847,59.2
1,24.5,469.31,55353,24.13,0,1,0,17552,69.7
1,12.39,200.41,27000,30.4,0,0,1,7134,46.3
1,22.99,496.76,49000,31.13,1,2,0,31692,72.7
1,16.49,1188.54,70000,23.02,1,0,0,2772,33.4
1,17.14,523.49,55000,30.35,0,1,0,1310,14.7
1,24.99,561.97,60000,28.63,0,1,0,32684,86.9
1,11.44,296.53,29000,16.8,0,1,0,13728,53.4
1,12.39,167.01,60000,11.12,0,0,0,8756,85
1,15.99,98.43,109000,10.68,0,3,1,15692,50.9
1,12.99,796.18,114000,13.48,1,0,0,23684,76.4
1,22.99,563.7,102000,25.98,0,2,0,26979,81.5
1,10.49,146.24,40466,24.29,0,0,1,2560,24.2
1,19.24,285.5,37000,13.72,0,1,2,1249,23.6
1,7.49,186.61,89500,14.32,0,0,1,7738,29.4
1,16.49,567.78,102000,9.04,0,1,0,17342,18
1,15.99,421.83,45000,10.8,0,1,0,12074,79.4
1,16.49,294.96,52000,12.95,0,0,0,14232,84.2
1,12.99,707.48,150000,20.24,0,0,0,94657,88.7
1,18.54,128.4,37500,27.81,0,1,0,17643,57.1
1,19.24,730.04,100000,20.89,0,0,0,10529,44.8
1,15.99,545.22,45000,27.55,0,0,0,34521,48
1,13.66,340.13,102000,6.65,1,0,0,2383,29.4
1,13.66,230.93,36000,19.57,0,0,0,10003,36.8
1,25.8,342.21,32000,17.03,0,3,0,13741,23.3
1,14.31,656.02,118000,16.83,0,1,0,153439,73.3
1,15.59,831.93,82000,33.15,0,1,0,21381,87.6
1,12.99,505.34,45500,37.46,0,0,0,17084,81.7
1,15.99,492.13,40000,31.29,0,0,0,22455,64.3
1,13.66,272.11,60000,30.95,0,0,0,40054,90.8
1,10.49,779.14,48000,28.43,0,0,0,29290,66.4
1,14.99,346.61,50000,16.66,0,0,0,3267,99
1,17.57,281.8,35000,20.16,0,1,0,5404,56.9
1,19.52,786.83,79200,23.56,0,2,0,8955,60.1
1,16.99,745.42,90000,33.95,0,0,0,26212,65.7
1,20.99,566.94,42000,22.89,0,0,0,28883,86.5
1,10.15,230.27,60000,14.44,0,0,0,36602,76.9
1,8.39,491.13,170000,13.8,0,0,0,63486,60.3
1,11.67,287.02,375000,17.52,0,0,0,82634,92.7
1,13.35,846.57,60000,13,0,0,0,19442,100.7
1,14.99,384.74,48000,20.53,1,0,1,3917,42.1
1,17.57,251.61,80000,26.24,0,0,0,16843,49.8
1,14.99,570.84,77000,18.97,7,0,0,28578,67.4
1,13.98,170.84,40000,24.99,0,0,0,2243,33
1,12.99,336.9,48500,17.52,0,1,1,2360,22.3
1,16.29,391.56,75000,30.14,0,0,1,8825,63
1,14.99,207.97,53000,13.39,2,1,0,8432,72.7
1,20.99,276.57,37017,28.11,0,0,0,3799,34.2
1,18.99,586.42,200000,19.66,0,1,0,7269,26.9
1,22.15,831.13,88183,29.03,2,1,0,8690,56.8
1,14.99,693.21,69000,20.33,1,0,0,33514,77
1,7.12,247.46,55000,7.07,0,0,2,3674,50.3
1,14.99,186.3,15167,27.87,0,0,2,9489,69.8
1,16.99,123.88,75000,10.37,0,0,0,736,66.9
1,18.24,490.07,48000,23.7,0,1,0,18578,43.5
1,16.99,340.41,47000,26.23,0,1,0,18303,48.9
1,12.99,707.48,80000,26.84,1,2,0,21255,25
1,18.24,138.75,55000,0.87,0,0,1,2168,34.4
1,22.15,969.65,79000,22.36,0,2,0,73697,102.1
1,20.2,383.12,50000,19.92,0,1,0,11750,60.3
1,12.99,673.79,117500,17.71,2,0,0,10645,21.5
1,14.49,470.47,75000,18.54,0,0,0,12018,61.9
1,18.99,461.81,55000,20.84,2,0,0,9158,56.2
1,12.99,719.27,78000,32,1,0,0,23875,33.6
1,18.24,522.33,50000,31.93,0,1,0,41310,67.3
1,18.99,153.94,35000,38.51,0,2,0,7427,49.2
1,18.24,290.19,20000,16.27,0,1,1,7581,59.2
1,10.99,327.34,28000,10.63,0,0,0,5347,52.9
1,12.49,668.98,50000,16.75,0,2,0,14116,89
1,14.99,277.29,98200,5.25,0,1,0,23278,76.1
1,14.49,516.25,109000,11.02,1,1,0,2431,90
1,15.61,270.05,45000,22.93,1,0,0,2605,62
1,14.49,564.56,95000,10.07,0,0,0,19857,88.3
1,13.98,563.78,60000,18.54,0,2,0,20181,44
1,20.2,872.02,78000,4.94,0,1,0,13406,79.3
1,15.61,195.81,32000,20.07,0,1,4,5243,48.5
1,20.2,1080.71,58000,33.93,0,4,1,14468,49.7
1,18.99,778.06,77000,11.03,0,0,0,11032,64.9
1,14.99,415.93,40000,12.03,0,2,0,12271,39.6
1,12.99,336.9,50000,16.51,0,4,0,4128,46
1,20.99,440.74,52664,24.48,1,0,0,5321,36
1,22.15,152.12,13250,29.89,1,2,0,5719,34
1,23.43,745.08,52800,22.63,2,0,0,7934,38.3
1,7.69,623.88,82000,9.43,0,1,0,42585,35.8
1,17.57,429.45,40000,6.27,2,0,2,2494,24.7
1,20.2,385.12,40300,28.56,0,0,0,18141,82.8
1,18.99,478.51,55000,33.04,0,1,0,1835,17.8
1,23.43,464.97,41000,19.17,0,0,0,18167,93.6
1,15.61,322.56,40000,22.98,0,4,0,4479,45
1,18.99,663.94,120000,17.74,0,2,0,2755,76.5
1,6.49,191.53,30000,24.8,0,0,0,4387,16.1
1,18.24,382.87,60000,17.96,0,1,0,20232,96.8
1,14.99,357.87,58000,23.34,1,0,0,4518,43.9
1,24.5,459.86,52988,17.1,0,0,0,20761,97.9
1,13.98,814.03,325000,16.61,0,2,0,59752,43.7
1,8.39,241.89,42000,21.31,0,4,0,2773,29
1,24.5,243.89,23000,23.49,0,0,0,2341,93.6
1,12.49,334.49,68000,2.82,0,0,0,5842,95.8
1,13.98,307.52,62000,20,0,3,0,8356,61.9
1,17.57,443.45,81240,13.21,0,1,1,10935,42.5
1,15.61,349.65,37000,17.84,0,0,0,9255,96.4
1,12.99,272.98,75000,33.76,1,0,0,21341,95.3
1,16.99,235.28,75000,10.77,0,0,0,2254,53.7
1,17.57,718.75,60000,23.56,2,0,2,17083,59.9
1,13.98,348.87,50000,18.34,0,0,1,7109,30.1
1,23.43,586.94,42000,24.2,0,0,0,12775,86.9
1,18.24,408.39,45000,20.13,2,2,0,8742,80
1,12.49,334.49,34000,32.99,1,1,1,13799,53.7
1,14.99,519.91,42000,22.2,0,1,0,19559,91.4
1,15.61,279.72,22000,17.18,0,1,0,9508,77.9
1,22.15,280.51,34000,29.83,0,0,0,9041,80.7
1,20.99,536.9,75000,28.11,0,0,0,5257,52.6
1,13.35,338.63,80000,8.98,2,3,0,10124,50.9
1,23.43,315.67,31000,29.58,0,1,0,27994,85.1
1,16.29,293.67,32000,15.72,0,0,1,4361,39.6
1,20.99,299.56,33000,32.87,0,0,1,7464,38.1
1,19.52,786.83,66000,18.04,0,2,0,11919,34.2
1,15.61,361.67,62000,23.85,0,1,1,8443,93.8
1,18.99,453.56,43000,25.29,0,0,1,9976,40
1,10.15,517.41,102000,29.47,5,0,3,6401,30.2
1,14.49,423.42,49944,33.3,0,0,0,14316,47.9
1,20.2,557.13,57200,18.74,0,0,1,8229,27
1,13.98,203.3,52000,13.04,0,0,0,4735,52
1,12.49,447.38,55000,18.11,0,0,0,19964,54.8
1,13.98,341.68,100000,13.27,0,0,0,23650,101.1
1,13.98,191.35,32000,27.38,0,3,1,212,1.6
1,24.5,353.49,30000,21.48,0,1,0,7348,81.6
1,19.52,393.42,53000,32.2,0,3,2,13262,47.9
1,14.99,832.47,150000,11.75,0,0,0,55906,75.3
1,10.99,229.14,45000,19.97,0,0,0,8377,70.4
1,7.69,698.74,110000,8.61,0,0,0,32703,45.7
1,10.99,196.41,30000,6.44,0,0,0,4508,28
1,16.29,1059.02,70000,20.3,0,1,0,13003,47.6
1,17.57,844.75,73000,22.81,1,0,0,33614,60.4
1,16.99,248.48,45000,12.85,0,0,0,5719,31.6
1,25.8,410.89,56800,39,9,3,4,20238,51.6
1,18.24,510.49,100000,16.82,0,1,1,10717,43.2
1,20.99,391.77,60000,35,2,0,0,3484,99.5
1,15.61,843.53,65000,15.86,0,0,0,11932,63.1
1,15.61,1101.4,155000,7.08,0,0,0,18339,70.8
1,17.57,359.38,100000,16.64,1,4,1,4664,41.3
1,14.49,235.24,27000,26.36,0,1,1,11504,57
1,18.99,311.23,57000,5.31,0,1,0,11430,70.6
1,13.98,109.34,38000,14.62,0,0,0,2523,51.5
1,25.8,790.29,60000,6.86,0,1,0,24080,77.9
1,18.24,893.35,80000,19.5,2,0,0,9389,43.9
1,18.24,1041.04,68478,14.41,1,0,0,19731,46.1
1,16.29,423.61,100000,12.6,0,0,0,14213,94.8
1,13.98,372.13,40000,22.24,0,0,0,16337,92.8
1,17.57,100.63,22000,24.11,0,1,0,14665,53.1
1,8.39,472.75,58000,19.12,0,0,1,16861,57.4
1,19.52,36.92,56000,26.77,0,2,0,14135,54.4
1,17.57,117.7,25000,10.03,0,1,0,3496,20.1
1,16.99,621.18,80000,30.65,0,1,0,40901,50.2
1,18.24,314.67,47000,25.56,1,3,1,3425,28.8
1,17.57,539.06,50000,31.52,0,1,3,15421,54.9
1,24.5,689.43,74400,28.62,0,3,0,12325,59
1,9.17,478.19,93260,12.57,0,2,0,91528,63.1
1,26.06,397.19,69223.96,21.38,1,6,0,15040,79.2
1,19.52,195.68,15804,26.8,0,0,0,10705,73.8
1,19.52,359.05,31000,33.25,1,1,1,4288,41.2
1,13.98,239.18,40000,25.68,0,1,2,4745,35.7
1,13.98,641.34,60000,24.5,0,1,0,24168,71.1
1,15.61,439.69,35000,16.53,0,2,0,22448,41.5
1,14.49,688.33,90000,23.36,0,0,0,14714,80.8
1,10.15,355.72,40000,17.01,0,0,0,9556,63.7
1,24.5,189.59,95000,19.64,0,4,0,29176,79.3
1,20.2,361.17,37920,8.73,0,1,0,9126,56
1,12.99,673.79,90000,15.36,0,0,0,25433,88.3
1,16.99,869.66,87000,7.6,0,0,1,23445,47.1
1,24.08,345.78,80000,24.35,4,0,1,5080,57.1
1,14.99,519.91,71000,16.67,1,3,0,12840,41.8
1,25.83,508.78,78604,17.52,0,1,0,13806,76.3
1,18.24,311.05,24000,28.96,1,1,0,7551,59.9
1,12.49,334.49,60000,34.84,0,0,0,28772,52.7
1,12.49,1003.47,100105.7,17.96,0,1,0,27102,99.3
1,13.98,558.19,54000,14.67,0,1,0,18259,61.9
1,19.52,258.44,51000,16.58,1,0,0,3898,86.6
1,23.43,58.41,76000,13.43,1,2,0,5468,20.7
1,13.98,615.03,109872,12.72,0,1,0,15479,50.6
1,24.08,375.08,32000,28.51,0,1,0,10025,38.4
1,12.99,282.99,75000,5.12,0,0,0,2759,64.2
1,12.99,673.79,61000,23.02,0,1,0,14138,75.2
1,23.43,116.81,22000,21.66,1,0,0,5861,61.7
1,11.67,551.96,100000,23.51,0,0,0,21940,70.5
1,15.61,241.12,70000,21.19,0,0,0,10809,81.9
1,19.52,292.44,36000,15.5,1,6,3,3445,34.4
1,13.35,592.6,65000,23.63,0,1,0,9931,68
1,11.67,247.93,60000,22.88,0,2,0,3823,59.7
1,17.57,452.89,76960,17.42,2,1,0,11938,71.9
